rainfall_mm,rolling_rainfall_24h,rolling_rainfall_72h,soil_moisture_pct,slope_angle_deg,elevation_m,avg_neighbor_risk,landslide_occurred
66.42,80.15,207.43,44.31,47.43,1975.07,52.06,1
124.76,202.11,261.31,62.99,25.92,493.37,40.68,1
47.24,109.92,141.92,31.36,8.47,1694.44,16.13,0
38.29,158.19,224.31,63.96,46.34,266.57,42.54,1
64.41,112.61,237.44,39.75,16.84,1872.23,13.73,0
31.11,207.48,262.72,42.2,6.05,1464.61,33.67,0
209.16,247.23,417.98,52.55,11.38,872.0,34.6,0
71.01,133.77,207.77,43.97,35.98,521.41,49.61,0
41.32,110.42,163.45,44.41,50.96,1742.24,44.4,0
79.91,109.34,219.78,78.31,10.24,1326.32,38.83,0
64.18,92.85,162.26,54.15,26.71,852.81,33.05,1
59.44,129.51,190.23,49.11,13.49,1015.48,10.9,0
47.23,59.81,284.06,60.26,40.02,1761.76,40.4,1
45.59,67.77,122.79,45.26,10.55,810.91,14.19,0
19.65,56.92,121.57,44.67,16.27,324.78,11.89,0
155.7,273.17,384.55,71.12,14.23,1927.0,34.36,1
100.19,170.3,339.6,60.15,30.97,905.32,33.12,1
85.05,129.24,234.55,52.54,46.04,829.36,45.26,1
63.48,90.72,175.89,29.83,29.02,548.58,32.5,0
33.36,181.8,420.76,55.36,7.74,1899.97,28.17,1
39.46,79.29,142.05,43.46,31.48,574.14,45.06,1
21.6,43.76,106.72,51.01,42.48,1391.51,34.0,0
43.12,209.96,265.5,57.69,11.21,1867.49,20.11,0
29.85,43.02,144.55,48.87,8.42,218.08,5.0,0
183.03,281.63,326.94,70.19,13.83,1766.14,33.3,1
119.7,161.84,199.68,44.41,40.07,950.67,36.93,0
73.04,143.03,207.56,52.97,32.81,1433.05,41.52,1
36.16,97.74,123.69,57.42,30.41,876.19,26.37,1
31.05,100.35,194.28,54.59,16.73,1506.26,15.06,0
60.75,237.31,338.99,57.62,20.62,645.88,51.16,1
122.75,282.21,394.18,48.18,50.4,192.76,63.29,1
22.12,45.32,176.41,49.9,16.31,1998.19,20.98,0
99.38,159.31,224.99,62.6,47.38,181.92,46.62,1
42.98,50.42,208.79,41.09,32.28,1756.99,38.82,1
48.83,123.34,272.93,49.96,10.79,479.82,15.52,0
71.64,158.32,199.5,56.01,26.96,914.83,32.4,0
37.1,41.27,119.44,36.07,49.58,1753.86,35.11,1
58.68,99.64,113.05,56.03,24.67,551.57,27.34,0
34.77,104.67,264.31,44.92,45.58,1838.13,41.25,1
45.56,99.62,229.39,53.51,17.05,1120.63,22.6,0
111.35,124.79,305.14,66.45,31.83,864.0,55.29,1
74.12,89.06,117.54,35.45,44.66,1441.75,45.46,0
111.09,148.44,255.47,60.31,48.27,815.71,21.76,1
42.57,72.0,129.95,40.86,27.83,827.21,35.7,0
99.83,131.59,150.44,38.97,35.07,1580.38,31.73,1
17.46,29.1,169.86,33.2,5.14,754.17,10.16,0
71.62,114.31,149.54,36.34,16.9,541.51,13.3,0
103.97,222.04,321.14,59.32,18.1,1724.91,27.35,0
16.82,30.85,88.38,46.04,9.39,1720.47,6.83,0
42.94,77.91,167.17,39.21,18.15,1120.29,14.41,0
71.59,136.19,268.32,43.53,20.09,1176.98,21.34,0
128.35,137.28,226.69,41.13,50.53,1507.35,39.0,1
45.56,88.57,133.29,53.91,36.42,1143.08,34.44,0
97.4,182.31,409.65,73.28,25.02,963.23,46.14,1
161.81,178.94,245.2,60.94,51.44,2090.04,53.7,1
100.22,146.43,197.09,56.81,12.2,437.9,21.57,0
60.2,140.98,217.69,51.9,27.37,1305.82,22.3,0
88.33,259.07,288.05,39.37,35.41,1877.43,46.81,1
44.6,89.05,142.69,50.28,7.61,1490.07,7.23,0
73.49,96.11,164.89,41.37,38.7,1867.8,40.76,0
62.26,85.04,178.71,45.56,9.69,805.85,9.89,0
86.48,97.44,180.6,54.54,11.59,680.39,15.0,0
51.69,176.1,283.29,67.4,12.51,1809.98,25.86,1
89.62,167.08,245.68,54.37,48.66,918.52,53.02,1
51.33,66.27,214.89,55.14,37.11,1533.88,39.79,0
118.99,140.49,258.45,61.77,35.81,438.11,41.03,1
55.08,98.99,201.39,49.63,31.11,1623.88,48.85,0
10.82,95.29,257.77,35.41,18.76,1220.52,15.89,0
31.86,91.91,254.37,50.38,34.18,673.79,31.28,1
70.2,126.17,212.98,57.63,24.28,1114.28,21.89,0
182.07,230.59,294.85,36.54,11.83,1509.04,15.05,0
116.2,131.93,223.58,32.43,37.41,173.18,33.46,1
8.63,52.97,127.53,30.82,11.09,1393.06,21.72,0
20.4,60.8,123.48,44.71,13.96,1206.1,12.9,0
138.37,149.16,238.68,55.63,43.43,579.56,41.3,1
103.61,225.98,326.56,50.32,36.03,1618.31,32.33,1
240.71,266.1,380.83,48.42,34.66,741.75,42.98,1
49.87,60.97,237.97,52.76,24.66,689.88,28.95,0
36.51,65.63,160.36,32.35,23.63,1068.88,31.34,0
72.76,106.65,186.31,35.46,37.44,1468.49,23.04,0
49.18,88.64,227.44,51.7,39.78,1961.25,37.29,1
130.59,164.03,211.73,52.65,28.98,425.65,41.96,1
47.98,89.19,115.35,28.78,50.56,923.11,35.42,0
57.38,104.07,210.24,49.77,49.92,280.63,28.79,0
32.69,77.6,143.71,31.17,24.38,1629.17,35.64,0
111.45,167.12,236.34,55.8,43.57,1023.08,49.75,1
34.34,92.42,139.39,32.59,30.53,1528.51,35.73,0
90.69,149.83,304.46,40.48,29.05,778.28,26.32,0
200.63,270.53,297.5,71.19,7.58,1796.42,38.96,0
14.77,37.84,150.19,51.01,31.98,1192.91,24.26,1
166.37,190.18,270.5,49.24,47.33,1990.04,44.61,1
83.37,168.11,351.27,42.04,41.67,303.69,45.72,1
28.68,58.53,197.68,49.89,41.96,1152.84,47.58,1
74.61,112.4,151.29,51.28,12.52,1644.59,17.42,0
109.45,144.66,262.68,45.32,21.85,1320.3,36.66,0
38.37,205.1,309.51,53.3,15.96,195.23,33.4,0
94.0,113.77,190.57,29.96,19.85,2046.06,25.44,1
174.71,194.14,306.97,56.72,32.24,731.61,34.79,1
47.93,89.25,142.81,24.93,22.14,636.09,38.49,0
32.39,68.39,153.54,40.49,31.35,1097.04,18.62,0
63.58,78.37,159.56,32.6,25.61,1207.21,30.63,1
71.99,110.76,159.33,46.7,18.47,1644.26,26.05,0
134.7,176.88,243.09,43.58,9.48,916.88,33.16,0
62.15,89.59,149.0,41.91,46.92,1007.92,50.43,0
51.11,88.1,188.63,27.43,5.53,1193.17,16.37,0
31.75,53.26,212.97,35.64,5.08,919.05,23.26,0
16.95,31.78,64.97,40.77,43.86,1933.37,45.31,0
24.59,54.26,156.56,41.18,51.85,1809.94,42.33,1
24.47,41.57,99.62,42.24,39.17,1037.2,22.44,0
57.81,70.0,204.28,47.59,5.72,150.38,15.68,0
19.9,25.81,127.4,38.71,15.65,1906.82,8.51,0
66.81,115.94,143.6,42.18,50.68,392.46,44.15,0
197.98,226.84,316.4,76.42,43.0,626.8,58.05,1
137.09,222.16,296.52,44.46,31.64,447.1,40.25,1
57.42,88.28,123.93,22.46,16.13,500.64,6.01,0
274.9,323.86,382.39,76.35,5.68,1715.61,40.26,1
72.16,96.5,183.73,59.09,5.98,1280.03,5.0,0
79.09,119.44,179.04,59.35,33.76,2014.39,21.32,1
62.75,68.72,211.74,42.03,6.03,601.33,18.07,0
67.8,97.11,171.06,47.36,51.7,1096.99,45.86,0
46.76,66.64,122.57,46.08,13.62,2055.99,20.74,0
58.0,137.26,227.36,50.88,38.4,1761.56,39.57,0
167.04,213.72,310.74,58.57,12.29,1570.8,44.76,1
146.15,217.97,352.94,72.88,30.38,518.5,45.22,1
10.35,101.78,184.93,53.04,8.79,1650.34,27.42,0
21.92,49.3,144.02,37.17,41.04,827.75,41.72,0
38.77,83.99,150.09,34.23,32.49,1184.55,20.41,0
123.4,139.06,324.74,62.1,9.05,1337.86,28.43,0
148.13,202.54,303.78,47.71,44.88,1338.26,66.7,1
109.18,169.34,257.74,50.13,30.71,1566.72,33.72,1
28.59,80.37,139.98,23.67,48.31,1440.32,34.09,0
47.45,74.8,219.61,40.86,48.08,283.32,46.68,0
95.03,224.93,250.54,47.82,48.26,1041.83,44.0,1
58.62,100.72,191.13,58.57,8.66,1444.84,13.18,0
53.13,68.87,122.9,31.26,10.69,727.19,11.76,0
53.68,117.88,245.33,52.31,51.42,760.46,60.71,1
139.53,220.39,317.97,59.44,27.92,392.91,39.51,1
101.19,117.22,206.38,31.11,16.2,966.3,14.57,0
55.75,89.66,131.37,55.52,41.17,2074.32,22.46,1
85.86,96.73,174.24,66.2,17.42,706.37,41.18,0
25.52,119.3,219.13,32.41,39.18,1186.3,38.16,0
47.51,85.97,220.99,52.69,44.35,1599.31,46.66,1
131.41,151.37,258.65,50.38,41.86,176.32,38.34,1
18.82,100.39,227.84,60.06,17.88,1905.86,30.38,0
101.97,143.21,174.63,32.53,23.88,903.77,39.1,0
10.24,84.34,172.3,37.9,24.42,1844.78,22.36,0
183.87,240.77,378.78,55.58,28.09,225.95,48.93,1
46.7,64.33,79.7,45.37,12.87,434.04,5.0,0
89.88,116.47,186.85,41.14,26.27,778.93,45.96,0
74.85,95.31,195.7,50.3,29.01,823.65,34.23,0
76.66,91.4,239.82,32.34,29.99,1803.2,32.68,1
84.87,92.99,178.72,60.89,43.54,171.84,37.14,0
15.95,162.92,243.01,29.9,29.31,1400.17,31.73,0
77.7,128.79,224.14,54.88,15.85,406.06,22.65,0
61.02,117.67,218.61,47.1,36.17,1755.27,18.52,1
46.89,134.68,181.31,41.05,42.47,1668.22,38.3,0
38.75,65.12,124.67,48.68,20.01,1124.85,20.24,0
78.97,90.69,113.21,57.72,35.33,564.74,33.6,0
32.71,102.39,156.42,47.54,11.91,1387.27,14.69,0
129.98,143.69,183.44,34.41,21.07,454.7,20.23,0
94.06,162.6,208.96,46.11,47.73,520.55,44.25,1
82.11,92.05,331.94,57.02,47.83,1372.05,40.7,1
126.69,139.44,283.03,58.31,32.04,2082.9,41.6,1
13.75,37.96,78.33,36.44,38.01,1887.57,13.79,0
24.84,91.6,125.42,27.08,45.14,1306.56,45.46,0
96.69,215.48,271.55,59.71,50.05,1200.15,55.87,1
40.46,97.04,130.06,49.75,28.02,2096.85,19.16,0
44.33,69.36,163.25,30.72,31.39,1217.42,36.37,1
21.94,100.44,193.37,41.48,24.54,969.23,30.12,0
32.78,42.41,88.31,37.12,8.38,1923.63,5.0,0
131.75,150.25,268.76,59.29,24.87,606.66,18.9,1
95.26,139.55,258.13,45.05,42.16,340.18,47.19,1
78.41,149.68,202.18,47.86,42.83,1386.48,34.51,0
45.6,80.89,125.8,36.46,46.94,336.91,46.36,0
75.24,107.61,170.2,42.76,7.42,877.64,17.33,0
138.78,172.68,283.11,62.28,29.78,975.98,33.5,1
41.21,128.46,357.18,66.32,10.05,1217.7,47.2,0
67.7,89.36,198.28,36.92,14.43,2083.74,28.14,1
190.66,208.05,246.15,51.33,47.31,580.91,17.61,1
108.3,141.78,238.59,61.34,28.35,882.72,31.01,1
46.07,141.59,227.43,40.92,40.65,407.87,30.38,0
102.94,126.8,209.71,58.67,8.03,1334.85,14.15,0
18.55,52.37,86.04,37.65,24.59,1568.96,20.05,0
65.89,75.35,172.01,48.52,36.69,1090.05,37.75,0
102.87,137.82,216.8,44.23,11.27,629.37,25.11,1
88.83,138.12,175.15,42.37,20.31,1360.73,33.95,0
102.25,115.98,312.63,66.17,8.03,1201.36,33.36,0
116.5,203.87,238.33,55.58,35.61,483.81,43.84,1
93.29,142.12,246.12,39.57,50.63,941.08,50.45,1
91.6,118.69,192.02,47.97,43.87,998.63,51.02,1
79.58,128.68,193.35,30.98,50.81,2066.1,42.46,1
